,date,strawberries
24,2011-06-25,48
25,2011-06-26,76
26,2011-06-27,63
27,2011-06-28,36
28,2011-06-29,53
29,2011-06-30,36
0,2011-07-01,78
1,2011-07-02,79
2,2011-07-03,73
3,2011-07-04,100
4,2011-07-05,48
5,2011-07-06,59
6,2011-07-07,15
7,2011-07-08,76
8,2011-07-09,66
9,2011-07-10,50
10,2011-07-11,30
11,2011-07-12,58
12,2011-07-13,36
13,2011-07-14,30
14,2011-07-15,54
15,2011-07-16,68
16,2011-07-17,30
17,2011-07-18,53
18,2011-07-19,30
19,2011-07-20,54
20,2011-07-21,39
21,2011-07-22,49
22,2011-07-23,29
23,2011-07-24,83
24,2011-07-25,62
25,2011-07-26,45
26,2011-07-27,38
27,2011-07-28,38
28,2011-07-29,63
29,2011-07-30,58
30,2011-07-31,40
0,2011-08-01,95
1,2011-08-02,58
2,2011-08-03,82
3,2011-08-04,23
4,2011-08-05,61
5,2011-08-06,61
6,2011-08-07,63
7,2011-08-08,60
8,2011-08-09,81
9,2011-08-10,45
10,2011-08-11,55
11,2011-08-12,57
12,2011-08-13,100
13,2011-08-14,74
14,2011-08-15,91
15,2011-08-16,76
16,2011-08-17,33
17,2011-08-18,56
18,2011-08-19,46
19,2011-08-20,42
20,2011-08-21,57
21,2011-08-22,45
22,2011-08-23,54
23,2011-08-24,32
24,2011-08-25,77
25,2011-08-26,45
26,2011-08-27,27
27,2011-08-28,56
28,2011-08-29,67
29,2011-08-30,22
30,2011-08-31,45
0,2011-09-01,39
1,2011-09-02,30
2,2011-09-03,0
3,2011-09-04,100
4,2011-09-05,92
5,2011-09-06,56
6,2011-09-07,55
7,2011-09-08,37
8,2011-09-09,56
9,2011-09-10,45
10,2011-09-11,35
11,2011-09-12,56
12,2011-09-13,27
13,2011-09-14,18
14,2011-09-15,74
15,2011-09-16,38
16,2011-09-17,35
17,2011-09-18,93
18,2011-09-19,29
19,2011-09-20,56
20,2011-09-21,19
21,2011-09-22,38
22,2011-09-23,39
23,2011-09-24,46
24,2011-09-25,70
25,2011-09-26,38
26,2011-09-27,47
27,2011-09-28,19
28,2011-09-29,39
29,2011-09-30,59
0,2011-10-01,75
1,2011-10-02,90
2,2011-10-03,61
3,2011-10-04,67
4,2011-10-05,48
5,2011-10-06,20
6,2011-10-07,61
7,2011-10-08,100
8,2011-10-09,51
9,2011-10-10,40
10,2011-10-11,57
11,2011-10-12,47
12,2011-10-13,40
13,2011-10-14,81
14,2011-10-15,47
15,2011-10-16,24
16,2011-10-17,39
17,2011-10-18,77
18,2011-10-19,96
19,2011-10-20,19
20,2011-10-21,0
21,2011-10-22,60
22,2011-10-23,48
23,2011-10-24,20
24,2011-10-25,0
25,2011-10-26,66
26,2011-10-27,19
27,2011-10-28,19
28,2011-10-29,23
29,2011-10-30,48
30,2011-10-31,48
0,2011-11-01,79
1,2011-11-02,25
2,2011-11-03,100
3,2011-11-04,77
4,2011-11-05,31
5,2011-11-06,30
6,2011-11-07,0
7,2011-11-08,73
8,2011-11-09,25
9,2011-11-10,99
10,2011-11-11,77
11,2011-11-12,59
12,2011-11-13,30
13,2011-11-14,63
14,2011-11-15,85
15,2011-11-16,74
16,2011-11-17,50
17,2011-11-18,26
18,2011-11-19,32
19,2011-11-20,48
20,2011-11-21,94
21,2011-11-22,79
22,2011-11-23,54
23,2011-11-24,48
24,2011-11-25,33
25,2011-11-26,33
26,2011-11-27,96
27,2011-11-28,63
28,2011-11-29,0
29,2011-11-30,51
0,2011-12-01,50
1,2011-12-02,100
2,2011-12-03,59
3,2011-12-04,31
4,2011-12-05,25
5,2011-12-06,0
6,2011-12-07,36
7,2011-12-08,37
8,2011-12-09,49
9,2011-12-10,29
10,2011-12-11,60
11,2011-12-12,25
12,2011-12-13,59
13,2011-12-14,24
14,2011-12-15,48
15,2011-12-16,38
16,2011-12-17,60
17,2011-12-18,31
18,2011-12-19,25
19,2011-12-20,50
20,2011-12-21,50
21,2011-12-22,52
22,2011-12-23,70
23,2011-12-24,49
24,2011-12-25,75
25,2011-12-26,0
26,2011-12-27,28
27,2011-12-28,53
28,2011-12-29,27
29,2011-12-30,27
30,2011-12-31,75
0,2012-01-01,52
1,2012-01-02,21
2,2012-01-03,28
3,2012-01-04,36
4,2012-01-05,36
5,2012-01-06,18
6,2012-01-07,43
7,2012-01-08,45
8,2012-01-09,19
9,2012-01-10,27
10,2012-01-11,37
11,2012-01-12,65
12,2012-01-13,56
13,2012-01-14,45
14,2012-01-15,45
15,2012-01-16,49
16,2012-01-17,74
17,2012-01-18,45
18,2012-01-19,18
19,2012-01-20,44
20,2012-01-21,31
21,2012-01-22,65
22,2012-01-23,0
23,2012-01-24,53
24,2012-01-25,45
25,2012-01-26,45
26,2012-01-27,28
27,2012-01-28,67
28,2012-01-29,23
29,2012-01-30,100
30,2012-01-31,36
0,2012-02-01,11
1,2012-02-02,11
2,2012-02-03,31
3,2012-02-04,11
4,2012-02-05,12
5,2012-02-06,14
6,2012-02-07,11
7,2012-02-08,25
8,2012-02-09,25
9,2012-02-10,25
10,2012-02-11,45
11,2012-02-12,24
12,2012-02-13,43
13,2012-02-14,100
14,2012-02-15,50
15,2012-02-16,27
16,2012-02-17,29
17,2012-02-18,26
18,2012-02-19,17
19,2012-02-20,7
20,2012-02-21,24
21,2012-02-22,17
22,2012-02-23,17
23,2012-02-24,18
24,2012-02-25,16
25,2012-02-26,19
26,2012-02-27,13
27,2012-02-28,13
28,2012-02-29,13
0,2012-03-01,28
1,2012-03-02,30
2,2012-03-03,54
3,2012-03-04,66
4,2012-03-05,67
5,2012-03-06,20
6,2012-03-07,27
7,2012-03-08,34
8,2012-03-09,35
9,2012-03-10,92
10,2012-03-11,59
11,2012-03-12,48
12,2012-03-13,46
13,2012-03-14,59
14,2012-03-15,46
15,2012-03-16,60
16,2012-03-17,39
17,2012-03-18,49
18,2012-03-19,27
19,2012-03-20,33
20,2012-03-21,60
21,2012-03-22,40
22,2012-03-23,42
23,2012-03-24,72
24,2012-03-25,100
25,2012-03-26,49
26,2012-03-27,54
27,2012-03-28,53
28,2012-03-29,48
29,2012-03-30,22
30,2012-03-31,62
0,2012-04-01,34
1,2012-04-02,60
2,2012-04-03,31
3,2012-04-04,27
4,2012-04-05,55
5,2012-04-06,52
6,2012-04-07,56
7,2012-04-08,94
8,2012-04-09,100
9,2012-04-10,47
10,2012-04-11,47
11,2012-04-12,26
12,2012-04-13,38
13,2012-04-14,46
14,2012-04-15,41
15,2012-04-16,38
16,2012-04-17,27
17,2012-04-18,47
18,2012-04-19,39
19,2012-04-20,31
20,2012-04-21,69
21,2012-04-22,70
22,2012-04-23,44
23,2012-04-24,63
24,2012-04-25,56
25,2012-04-26,37
26,2012-04-27,68
27,2012-04-28,97
28,2012-04-29,62
29,2012-04-30,65
0,2012-05-01,47
1,2012-05-02,57
2,2012-05-03,42
3,2012-05-04,36
4,2012-05-05,40
5,2012-05-06,41
6,2012-05-07,42
7,2012-05-08,38
8,2012-05-09,44
9,2012-05-10,65
10,2012-05-11,53
11,2012-05-12,82
12,2012-05-13,92
13,2012-05-14,36
14,2012-05-15,22
15,2012-05-16,29
16,2012-05-17,35
17,2012-05-18,57
18,2012-05-19,41
19,2012-05-20,37
20,2012-05-21,25
21,2012-05-22,31
22,2012-05-23,22
23,2012-05-24,36
24,2012-05-25,45
25,2012-05-26,59
26,2012-05-27,100
27,2012-05-28,53
28,2012-05-29,17
29,2012-05-30,34
30,2012-05-31,27
0,2012-06-01,27
1,2012-06-02,74
2,2012-06-03,50
3,2012-06-04,64
4,2012-06-05,84
5,2012-06-06,57
6,2012-06-07,52
7,2012-06-08,60
8,2012-06-09,65
9,2012-06-10,57
10,2012-06-11,72
11,2012-06-12,50
12,2012-06-13,56
13,2012-06-14,88
14,2012-06-15,20
15,2012-06-16,64
16,2012-06-17,75
17,2012-06-18,64
18,2012-06-19,31
19,2012-06-20,50
20,2012-06-21,89
21,2012-06-22,51
22,2012-06-23,100
23,2012-06-24,90
24,2012-06-25,57
25,2012-06-26,30
26,2012-06-27,55
27,2012-06-28,18
28,2012-06-29,66
29,2012-06-30,75
0,2012-07-01,60
1,2012-07-02,93
2,2012-07-03,100
3,2012-07-04,72
4,2012-07-05,40
5,2012-07-06,49
6,2012-07-07,45
7,2012-07-08,84
8,2012-07-09,52
9,2012-07-10,57
10,2012-07-11,35
11,2012-07-12,34
12,2012-07-13,41
13,2012-07-14,44
14,2012-07-15,54
15,2012-07-16,64
16,2012-07-17,34
17,2012-07-18,40
18,2012-07-19,59
19,2012-07-20,49
20,2012-07-21,46
21,2012-07-22,64
22,2012-07-23,36
23,2012-07-24,29
24,2012-07-25,23
25,2012-07-26,70
26,2012-07-27,36
27,2012-07-28,52
28,2012-07-29,53
29,2012-07-30,59
30,2012-07-31,28
0,2012-08-01,34
1,2012-08-02,94
2,2012-08-03,72
3,2012-08-04,66
4,2012-08-05,100
5,2012-08-06,69
6,2012-08-07,33
7,2012-08-08,85
8,2012-08-09,77
9,2012-08-10,35
10,2012-08-11,77
11,2012-08-12,68
12,2012-08-13,60
13,2012-08-14,68
14,2012-08-15,62
15,2012-08-16,82
16,2012-08-17,75
17,2012-08-18,81
18,2012-08-19,83
19,2012-08-20,36
20,2012-08-21,44
21,2012-08-22,35
22,2012-08-23,36
23,2012-08-24,36
24,2012-08-25,89
25,2012-08-26,45
26,2012-08-27,79
27,2012-08-28,34
28,2012-08-29,61
29,2012-08-30,36
30,2012-08-31,76
0,2012-09-01,47
1,2012-09-02,40
2,2012-09-03,36
3,2012-09-04,14
4,2012-09-05,67
5,2012-09-06,70
6,2012-09-07,36
7,2012-09-08,36
8,2012-09-09,27
9,2012-09-10,14
10,2012-09-11,27
11,2012-09-12,34
12,2012-09-13,14
13,2012-09-14,35
14,2012-09-15,43
15,2012-09-16,35
16,2012-09-17,35
17,2012-09-18,40
18,2012-09-19,27
19,2012-09-20,48
20,2012-09-21,34
21,2012-09-22,50
22,2012-09-23,34
23,2012-09-24,13
24,2012-09-25,13
25,2012-09-26,25
26,2012-09-27,26
27,2012-09-28,26
28,2012-09-29,25
29,2012-09-30,100
0,2012-10-01,0
1,2012-10-02,58
2,2012-10-03,95
3,2012-10-04,72
4,2012-10-05,74
5,2012-10-06,30
6,2012-10-07,75
7,2012-10-08,36
8,2012-10-09,35
9,2012-10-10,45
10,2012-10-11,45
11,2012-10-12,34
12,2012-10-13,55
13,2012-10-14,98
14,2012-10-15,34
15,2012-10-16,65
16,2012-10-17,44
17,2012-10-18,22
18,2012-10-19,23
19,2012-10-20,42
20,2012-10-21,57
21,2012-10-22,54
22,2012-10-23,41
23,2012-10-24,21
24,2012-10-25,20
25,2012-10-26,53
26,2012-10-27,63
27,2012-10-28,75
28,2012-10-29,100
29,2012-10-30,41
30,2012-10-31,34
0,2012-11-01,19
1,2012-11-02,45
2,2012-11-03,22
3,2012-11-04,43
4,2012-11-05,35
5,2012-11-06,63
6,2012-11-07,29
7,2012-11-08,32
8,2012-11-09,100
9,2012-11-10,20
10,2012-11-11,31
11,2012-11-12,26
12,2012-11-13,41
13,2012-11-14,50
14,2012-11-15,51
15,2012-11-16,35
16,2012-11-17,60
17,2012-11-18,53
18,2012-11-19,35
19,2012-11-20,59
20,2012-11-21,53
21,2012-11-22,21
22,2012-11-23,55
23,2012-11-24,22
24,2012-11-25,0
25,2012-11-26,42
26,2012-11-27,32
27,2012-11-28,40
28,2012-11-29,32
29,2012-11-30,32
0,2012-12-01,40
1,2012-12-02,25
2,2012-12-03,21
3,2012-12-04,20
4,2012-12-05,13
5,2012-12-06,14
6,2012-12-07,23
7,2012-12-08,19
8,2012-12-09,38
9,2012-12-10,30
10,2012-12-11,28
11,2012-12-12,14
12,2012-12-13,28
13,2012-12-14,14
14,2012-12-15,33
15,2012-12-16,43
16,2012-12-17,14
17,2012-12-18,27
18,2012-12-19,41
19,2012-12-20,28
20,2012-12-21,28
21,2012-12-22,0
22,2012-12-23,25
23,2012-12-24,50
24,2012-12-25,29
25,2012-12-26,24
26,2012-12-27,0
27,2012-12-28,30
28,2012-12-29,100
29,2012-12-30,34
30,2012-12-31,31
0,2013-01-01,63
1,2013-01-02,33
2,2013-01-03,48
3,2013-01-04,32
4,2013-01-05,37
5,2013-01-06,55
6,2013-01-07,24
7,2013-01-08,39
8,2013-01-09,39
9,2013-01-10,24
10,2013-01-11,24
11,2013-01-12,46
12,2013-01-13,66
13,2013-01-14,0
14,2013-01-15,31
15,2013-01-16,39
16,2013-01-17,48
17,2013-01-18,33
18,2013-01-19,48
19,2013-01-20,59
20,2013-01-21,51
21,2013-01-22,34
22,2013-01-23,18
23,2013-01-24,49
24,2013-01-25,68
25,2013-01-26,50
26,2013-01-27,81
27,2013-01-28,100
28,2013-01-29,26
29,2013-01-30,26
30,2013-01-31,54
0,2013-02-01,17
1,2013-02-02,16
2,2013-02-03,27
3,2013-02-04,15
4,2013-02-05,19
5,2013-02-06,19
6,2013-02-07,27
7,2013-02-08,24
8,2013-02-09,16
9,2013-02-10,28
10,2013-02-11,32
11,2013-02-12,25
12,2013-02-13,49
13,2013-02-14,100
14,2013-02-15,43
15,2013-02-16,21
16,2013-02-17,18
17,2013-02-18,26
18,2013-02-19,20
19,2013-02-20,13
20,2013-02-21,12
21,2013-02-22,7
22,2013-02-23,20
23,2013-02-24,19
24,2013-02-25,22
25,2013-02-26,11
26,2013-02-27,20
27,2013-02-28,8
0,2013-03-01,29
1,2013-03-02,38
2,2013-03-03,56
3,2013-03-04,25
4,2013-03-05,28
5,2013-03-06,21
6,2013-03-07,32
7,2013-03-08,36
8,2013-03-09,38
9,2013-03-10,44
10,2013-03-11,36
11,2013-03-12,51
12,2013-03-13,45
13,2013-03-14,21
14,2013-03-15,49
15,2013-03-16,55
16,2013-03-17,48
17,2013-03-18,29
18,2013-03-19,39
19,2013-03-20,42
20,2013-03-21,44
21,2013-03-22,12
22,2013-03-23,44
23,2013-03-24,85
24,2013-03-25,43
25,2013-03-26,30
26,2013-03-27,41
27,2013-03-28,26
28,2013-03-29,35
29,2013-03-30,62
30,2013-03-31,100
0,2013-04-01,43
1,2013-04-02,21
2,2013-04-03,33
3,2013-04-04,64
4,2013-04-05,29
5,2013-04-06,64
6,2013-04-07,80
7,2013-04-08,33
8,2013-04-09,57
9,2013-04-10,49
10,2013-04-11,54
11,2013-04-12,55
12,2013-04-13,64
13,2013-04-14,40
14,2013-04-15,82
15,2013-04-16,68
16,2013-04-17,37
17,2013-04-18,54
18,2013-04-19,30
19,2013-04-20,55
20,2013-04-21,71
21,2013-04-22,79
22,2013-04-23,57
23,2013-04-24,57
24,2013-04-25,45
25,2013-04-26,42
26,2013-04-27,44
27,2013-04-28,100
28,2013-04-29,64
29,2013-04-30,57
0,2013-05-01,50
1,2013-05-02,25
2,2013-05-03,46
3,2013-05-04,62
4,2013-05-05,35
5,2013-05-06,46
6,2013-05-07,49
7,2013-05-08,40
8,2013-05-09,41
9,2013-05-10,51
10,2013-05-11,100
11,2013-05-12,77
12,2013-05-13,33
13,2013-05-14,37
14,2013-05-15,24
15,2013-05-16,16
16,2013-05-17,53
17,2013-05-18,48
18,2013-05-19,49
19,2013-05-20,42
20,2013-05-21,24
21,2013-05-22,52
22,2013-05-23,23
23,2013-05-24,32
24,2013-05-25,46
25,2013-05-26,63
26,2013-05-27,40
27,2013-05-28,37
28,2013-05-29,60
29,2013-05-30,32
30,2013-05-31,27
0,2013-06-01,40
1,2013-06-02,100
2,2013-06-03,56
3,2013-06-04,16
4,2013-06-05,44
5,2013-06-06,37
6,2013-06-07,41
7,2013-06-08,59
8,2013-06-09,45
9,2013-06-10,73
10,2013-06-11,54
11,2013-06-12,51
12,2013-06-13,32
13,2013-06-14,52
14,2013-06-15,24
15,2013-06-16,50
16,2013-06-17,47
17,2013-06-18,48
18,2013-06-19,29
19,2013-06-20,41
20,2013-06-21,38
21,2013-06-22,55
22,2013-06-23,65
23,2013-06-24,22
24,2013-06-25,18
25,2013-06-26,22
26,2013-06-27,19
27,2013-06-28,46
28,2013-06-29,63
29,2013-06-30,47
0,2013-07-01,23
1,2013-07-02,30
2,2013-07-03,58
3,2013-07-04,100
4,2013-07-05,26
5,2013-07-06,16
6,2013-07-07,49
7,2013-07-08,26
8,2013-07-09,25
9,2013-07-10,42
10,2013-07-11,35
11,2013-07-12,39
12,2013-07-13,32
13,2013-07-14,42
14,2013-07-15,34
15,2013-07-16,37
16,2013-07-17,21
17,2013-07-18,31
18,2013-07-19,36
19,2013-07-20,49
20,2013-07-21,90
21,2013-07-22,34
22,2013-07-23,17
23,2013-07-24,29
24,2013-07-25,47
25,2013-07-26,31
26,2013-07-27,32
27,2013-07-28,57
28,2013-07-29,48
29,2013-07-30,42
30,2013-07-31,38
0,2013-08-01,60
1,2013-08-02,0
2,2013-08-03,100
3,2013-08-04,60
4,2013-08-05,59
5,2013-08-06,52
6,2013-08-07,59
7,2013-08-08,53
8,2013-08-09,48
9,2013-08-10,81
10,2013-08-11,34
11,2013-08-12,27
12,2013-08-13,77
13,2013-08-14,66
14,2013-08-15,40
15,2013-08-16,27
16,2013-08-17,90
17,2013-08-18,42
18,2013-08-19,46
19,2013-08-20,39
20,2013-08-21,46
21,2013-08-22,27
22,2013-08-23,41
23,2013-08-24,33
24,2013-08-25,67
25,2013-08-26,71
26,2013-08-27,13
27,2013-08-28,26
28,2013-08-29,32
29,2013-08-30,0
30,2013-08-31,47
0,2013-09-01,77
1,2013-09-02,100
2,2013-09-03,43
3,2013-09-04,17
4,2013-09-05,25
5,2013-09-06,43
6,2013-09-07,73
7,2013-09-08,62
8,2013-09-09,93
9,2013-09-10,32
10,2013-09-11,50
11,2013-09-12,67
12,2013-09-13,60
13,2013-09-14,52
14,2013-09-15,42
15,2013-09-16,34
16,2013-09-17,33
17,2013-09-18,17
18,2013-09-19,17
19,2013-09-20,44
20,2013-09-21,61
21,2013-09-22,75
22,2013-09-23,17
23,2013-09-24,17
24,2013-09-25,34
25,2013-09-26,53
26,2013-09-27,18
27,2013-09-28,66
28,2013-09-29,33
29,2013-09-30,52
0,2013-10-01,38
1,2013-10-02,49
2,2013-10-03,80
3,2013-10-04,61
4,2013-10-05,50
5,2013-10-06,38
6,2013-10-07,30
7,2013-10-08,39
8,2013-10-09,59
9,2013-10-10,40
10,2013-10-11,41
11,2013-10-12,75
12,2013-10-13,76
13,2013-10-14,70
14,2013-10-15,59
15,2013-10-16,59
16,2013-10-17,40
17,2013-10-18,61
18,2013-10-19,100
19,2013-10-20,63
20,2013-10-21,60
21,2013-10-22,48
22,2013-10-23,68
23,2013-10-24,50
24,2013-10-25,61
25,2013-10-26,88
26,2013-10-27,51
27,2013-10-28,20
28,2013-10-29,39
29,2013-10-30,99
30,2013-10-31,20
0,2013-11-01,64
1,2013-11-02,68
2,2013-11-03,45
3,2013-11-04,19
4,2013-11-05,27
5,2013-11-06,47
6,2013-11-07,19
7,2013-11-08,39
8,2013-11-09,36
9,2013-11-10,25
10,2013-11-11,60
11,2013-11-12,48
12,2013-11-13,38
13,2013-11-14,67
14,2013-11-15,29
15,2013-11-16,47
16,2013-11-17,24
17,2013-11-18,29
18,2013-11-19,56
19,2013-11-20,47
20,2013-11-21,19
21,2013-11-22,20
22,2013-11-23,24
23,2013-11-24,100
24,2013-11-25,40
25,2013-11-26,49
26,2013-11-27,40
27,2013-11-28,48
28,2013-11-29,25
29,2013-11-30,48
0,2013-12-01,28
1,2013-12-02,23
2,2013-12-03,30
3,2013-12-04,15
4,2013-12-05,16
5,2013-12-06,16
6,2013-12-07,48
7,2013-12-08,40
8,2013-12-09,16
9,2013-12-10,30
10,2013-12-11,30
11,2013-12-12,53
12,2013-12-13,100
13,2013-12-14,46
14,2013-12-15,56
15,2013-12-16,30
16,2013-12-17,58
17,2013-12-18,22
18,2013-12-19,69
19,2013-12-20,16
20,2013-12-21,28
21,2013-12-22,40
22,2013-12-23,61
23,2013-12-24,73
24,2013-12-25,23
25,2013-12-26,29
26,2013-12-27,27
27,2013-12-28,20
28,2013-12-29,59
29,2013-12-30,51
30,2013-12-31,25
0,2014-01-01,40
1,2014-01-02,32
2,2014-01-03,61
3,2014-01-04,70
4,2014-01-05,84
5,2014-01-06,60
6,2014-01-07,48
7,2014-01-08,39
8,2014-01-09,58
9,2014-01-10,50
10,2014-01-11,35
11,2014-01-12,72
12,2014-01-13,58
13,2014-01-14,95
14,2014-01-15,30
15,2014-01-16,32
16,2014-01-17,43
17,2014-01-18,40
18,2014-01-19,68
19,2014-01-20,23
20,2014-01-21,84
21,2014-01-22,41
22,2014-01-23,50
23,2014-01-24,82
24,2014-01-25,38
25,2014-01-26,78
26,2014-01-27,30
27,2014-01-28,79
28,2014-01-29,39
29,2014-01-30,68
30,2014-01-31,100
0,2014-02-01,16
1,2014-02-02,14
2,2014-02-03,9
3,2014-02-04,24
4,2014-02-05,17
5,2014-02-06,27
6,2014-02-07,31
7,2014-02-08,28
8,2014-02-09,18
9,2014-02-10,15
10,2014-02-11,29
11,2014-02-12,30
12,2014-02-13,76
13,2014-02-14,100
14,2014-02-15,46
15,2014-02-16,24
16,2014-02-17,24
17,2014-02-18,11
18,2014-02-19,17
19,2014-02-20,11
20,2014-02-21,17
21,2014-02-22,24
22,2014-02-23,22
23,2014-02-24,12
24,2014-02-25,9
25,2014-02-26,24
26,2014-02-27,11
27,2014-02-28,15
0,2014-03-01,35
1,2014-03-02,18
2,2014-03-03,34
3,2014-03-04,28
4,2014-03-05,32
5,2014-03-06,47
6,2014-03-07,39
7,2014-03-08,53
8,2014-03-09,59
9,2014-03-10,51
10,2014-03-11,37
11,2014-03-12,37
12,2014-03-13,52
13,2014-03-14,84
14,2014-03-15,12
15,2014-03-16,56
16,2014-03-17,38
17,2014-03-18,38
18,2014-03-19,38
19,2014-03-20,54
20,2014-03-21,30
21,2014-03-22,37
22,2014-03-23,100
23,2014-03-24,38
24,2014-03-25,28
25,2014-03-26,60
26,2014-03-27,37
27,2014-03-28,19
28,2014-03-29,73
29,2014-03-30,88
30,2014-03-31,43
0,2014-04-01,38
1,2014-04-02,16
2,2014-04-03,46
3,2014-04-04,53
4,2014-04-05,13
5,2014-04-06,30
6,2014-04-07,40
7,2014-04-08,32
8,2014-04-09,39
9,2014-04-10,23
10,2014-04-11,30
11,2014-04-12,46
12,2014-04-13,78
13,2014-04-14,48
14,2014-04-15,46
15,2014-04-16,47
16,2014-04-17,38
17,2014-04-18,57
18,2014-04-19,74
19,2014-04-20,100
20,2014-04-21,31
21,2014-04-22,49
22,2014-04-23,30
23,2014-04-24,40
24,2014-04-25,47
25,2014-04-26,56
26,2014-04-27,61
27,2014-04-28,48
28,2014-04-29,37
29,2014-04-30,36
0,2014-05-01,25
1,2014-05-02,38
2,2014-05-03,18
3,2014-05-04,29
4,2014-05-05,34
5,2014-05-06,42
6,2014-05-07,41
7,2014-05-08,55
8,2014-05-09,42
9,2014-05-10,60
10,2014-05-11,100
11,2014-05-12,46
12,2014-05-13,25
13,2014-05-14,22
14,2014-05-15,19
15,2014-05-16,42
16,2014-05-17,39
17,2014-05-18,58
18,2014-05-19,55
19,2014-05-20,36
20,2014-05-21,37
21,2014-05-22,28
22,2014-05-23,20
23,2014-05-24,45
24,2014-05-25,18
25,2014-05-26,40
26,2014-05-27,35
27,2014-05-28,21
28,2014-05-29,13
29,2014-05-30,39
30,2014-05-31,24
0,2014-06-01,64
1,2014-06-02,73
2,2014-06-03,36
3,2014-06-04,72
4,2014-06-05,81
5,2014-06-06,59
6,2014-06-07,65
7,2014-06-08,75
8,2014-06-09,32
9,2014-06-10,95
10,2014-06-11,62
11,2014-06-12,49
12,2014-06-13,69
13,2014-06-14,100
14,2014-06-15,64
15,2014-06-16,42
16,2014-06-17,36
17,2014-06-18,54
18,2014-06-19,61
19,2014-06-20,32
20,2014-06-21,77
21,2014-06-22,89
22,2014-06-23,43
23,2014-06-24,53
24,2014-06-25,42
25,2014-06-26,54
26,2014-06-27,57
27,2014-06-28,62
28,2014-06-29,57
29,2014-06-30,37
0,2014-07-01,23
1,2014-07-02,43
2,2014-07-03,54
3,2014-07-04,72
4,2014-07-05,100
5,2014-07-06,70
6,2014-07-07,33
7,2014-07-08,45
8,2014-07-09,74
9,2014-07-10,19
10,2014-07-11,28
11,2014-07-12,34
12,2014-07-13,52
13,2014-07-14,9
14,2014-07-15,27
15,2014-07-16,32
16,2014-07-17,50
17,2014-07-18,38
18,2014-07-19,41
19,2014-07-20,36
20,2014-07-21,28
21,2014-07-22,13
22,2014-07-23,23
23,2014-07-24,32
24,2014-07-25,19
25,2014-07-26,29
26,2014-07-27,24
27,2014-07-28,47
28,2014-07-29,27
29,2014-07-30,32
30,2014-07-31,23
0,2014-08-01,37
1,2014-08-02,46
2,2014-08-03,59
3,2014-08-04,83
4,2014-08-05,63
5,2014-08-06,100
6,2014-08-07,57
7,2014-08-08,38
8,2014-08-09,92
9,2014-08-10,84
10,2014-08-11,37
11,2014-08-12,62
12,2014-08-13,36
13,2014-08-14,100
14,2014-08-15,65
15,2014-08-16,34
16,2014-08-17,47
17,2014-08-18,37
18,2014-08-19,45
19,2014-08-20,36
20,2014-08-21,56
21,2014-08-22,98
22,2014-08-23,87
23,2014-08-24,47
24,2014-08-25,69
25,2014-08-26,57
26,2014-08-27,38
27,2014-08-28,76
28,2014-08-29,20
29,2014-08-30,63
30,2014-08-31,53
0,2014-09-01,73
1,2014-09-02,19
2,2014-09-03,28
3,2014-09-04,57
4,2014-09-05,80
5,2014-09-06,38
6,2014-09-07,64
7,2014-09-08,39
8,2014-09-09,47
9,2014-09-10,57
10,2014-09-11,57
11,2014-09-12,68
12,2014-09-13,62
13,2014-09-14,50
14,2014-09-15,100
15,2014-09-16,71
16,2014-09-17,40
17,2014-09-18,38
18,2014-09-19,50
19,2014-09-20,39
20,2014-09-21,78
21,2014-09-22,20
22,2014-09-23,29
23,2014-09-24,68
24,2014-09-25,19
25,2014-09-26,29
26,2014-09-27,51
27,2014-09-28,26
28,2014-09-29,39
29,2014-09-30,47
0,2014-10-01,13
1,2014-10-02,20
2,2014-10-03,28
3,2014-10-04,18
4,2014-10-05,54
5,2014-10-06,27
6,2014-10-07,19
7,2014-10-08,38
8,2014-10-09,26
9,2014-10-10,35
10,2014-10-11,18
11,2014-10-12,0
12,2014-10-13,20
13,2014-10-14,26
14,2014-10-15,26
15,2014-10-16,20
16,2014-10-17,13
17,2014-10-18,44
18,2014-10-19,18
19,2014-10-20,13
20,2014-10-21,38
21,2014-10-22,13
22,2014-10-23,12
23,2014-10-24,30
24,2014-10-25,28
25,2014-10-26,15
26,2014-10-27,28
27,2014-10-28,34
28,2014-10-29,100
29,2014-10-30,11
30,2014-10-31,24
0,2014-11-01,71
1,2014-11-02,35
2,2014-11-03,55
3,2014-11-04,52
4,2014-11-05,51
5,2014-11-06,77
6,2014-11-07,40
7,2014-11-08,49
8,2014-11-09,67
9,2014-11-10,54
10,2014-11-11,53
11,2014-11-12,26
12,2014-11-13,50
13,2014-11-14,51
14,2014-11-15,78
15,2014-11-16,49
16,2014-11-17,52
17,2014-11-18,95
18,2014-11-19,53
19,2014-11-20,25
20,2014-11-21,52
21,2014-11-22,46
22,2014-11-23,33
23,2014-11-24,27
24,2014-11-25,65
25,2014-11-26,55
26,2014-11-27,96
27,2014-11-28,100
28,2014-11-29,32
29,2014-11-30,48
0,2014-12-01,39
1,2014-12-02,66
2,2014-12-03,67
3,2014-12-04,58
4,2014-12-05,59
5,2014-12-06,60
6,2014-12-07,100
7,2014-12-08,60
8,2014-12-09,78
9,2014-12-10,60
10,2014-12-11,30
11,2014-12-12,41
12,2014-12-13,0
13,2014-12-14,69
14,2014-12-15,43
15,2014-12-16,52
16,2014-12-17,43
